Famous Person,Born,Died
Paul Schulze (officer),1913,1980
Bern von Baer,1911,1981
Othmar Pollmann,1917,1991
Heinz-Otto Fabian,1918,1990
Franz Weller,1901,1994
Bruno Streckenbach,1902,1977
John Ford,1894,1973
Isoroku Yamamoto,1884,1943
Konrad Zeller,1911,1996
Hubert Pilarski,1913,1996
Herbert Wittmann,1914,2007
Werner Ziegler (soldier),1898,1987
Gustav Preßler,1912,1985
Martin Steglich,1915,1997
Wilhelm Osterhold,1914,2002
Heinrich Busse,1909,1998
Richard Seuss,1897,1963
Josef Prentl,1916,1996
Curt Schille,1910,1985
Mother Teresa,1910,1997
Wolfgang von Obstfelder,1918,1981
Ernst Kuppinger,1914,1995
Gottfried Wilhelm Leibniz,1646,1716
William Faulkner,1897,1962
Jule Styne,1905,1994
Sergei Rachmaninoff,1873,1943
John Rawls,1921,2002
Vince Lombardi,1913,1970
Arthur C. Clarke,1917,2008
Thomas Mann,1875,1955
Robert A. Heinlein,1907,1988
Adolf Galland,1912,1996
Reginald Fessenden,1866,1932
Alfred Jodl,1890,1946
John von Neumann,1903,1957
Christopher Lee,1922,2015
Buster Keaton,1895,1966
Leonid Brezhnev,1906,1982
Philo Farnsworth,1906,1971
Philip V of Spain,1683,1746
Charles XIV John of Sweden,1763,1844
Helen Hayes,1900,1993
Éamon de Valera,1882,1975
Branch Rickey,1881,1965
Pierre-Joseph Proudhon,1809,1865
Gerd von Rundstedt,1875,1953
Aleister Crowley,1875,1947
Edward Heath,1916,2005
Edwin Howard Armstrong,1890,1954
Alexander Stepanovich Popov,1859,1906
Subrahmanyan Chandrasekhar,1910,1995
Charles Lindbergh,1902,1974
Denis Diderot,1713,1784
Ingrid Bergman,1915,1982
George Bentham,1800,1884
Franklin Pierce,1804,1869
Stanley Baldwin,1867,1947
Otto Skorzeny,1908,1975
Mary Shelley,1797,1851
Edward Drinker Cope,1840,1897
Pete Seeger,1919,2014
John C. Breckinridge,1821,1875
Pope John Paul I,1912,1978
Sepp Dietrich,1892,1966
Lauren Bacall,1924,2014
Richard Burton,1925,1984
Washington Irving,1783,1859
W. E. B. Du Bois,1868,1963
Billy Graham,1918,2010
Albert Kesselring,1885,1960
James Callaghan,1912,2005
Camille Saint-Saëns,1835,1921
Christy Mathewson,1880,1925
Peter Sellers,1925,1980
Alexander II of Russia,1818,1881
Virginia Woolf,1882,1941
Hal David,1921,2012
Friedrich Jeckeln,1895,1946
Hans-Ulrich Rudel,1916,1982
Harriet Beecher Stowe,1811,1896
Elisha Gray,1835,1901
Heinz Reinefarth,1903,1979
Antonio Meucci,1808,1889
Claude Chappe,1763,1805
Hannibal Hamlin,1809,1891
Alexander Pushkin,1799,1837
Gene Kelly,1912,1996
Gary Cooper,1901,1961
Jeremy Bentham,1748,1832
Eugène Delacroix,1798,1863
William H. Seward,1801,1872
Nathaniel Hawthorne,1804,1864
Wilhelm II German Emperor,1859,1941
Gaetano Donizetti,1797,1848
Hirohito,1901,1989
Casey Stengel,1890,1975
Alfred Vail,1807,1859
Richard Feynman,1918,1988
Horatio Nelson 1st Viscount Nelson,1758,1805
Albert Camus,1913,1960
Werner Mölders,1913,1941
Hermann Fegelein,1906,1945
John Steinbeck,1902,1968
Johann Philipp Reis,1834,1874
Friedrich Paulus,1890,1957
Joseph Bonaparte,1768,1844
Enrico Fermi,1901,1954
Phil Rizzuto,1917,2007
James A. Garfield,1831,1881
Herbert A. Simon,1916,2001
Iain Macleod,1913,1970
Sarvepalli Radhakrishnan,1888,1975
Friedrich-Wilhelm Müller,1897,1947
Luis Buñuel,1900,1983
Eugene O'Neill,1888,1953
John Henry Newman,1801,1890
Subhas Chandra Bose,1897,1945
Pearl S. Buck,1892,1973
Charles X of France,1757,1836
Günther von Kluge,1882,1944
Mary of Teck,1867,1953
Rosa Parks,1913,2005
Reinhard Suhren,1916,1984
William J. Brennan Jr.,1906,1997
Innocenzo Manzetti,1826,1877
Günther Lützow,1912,1945
Alphonsus Maria de' Liguori,1696,1787
Otto Ernst Remer,1912,1997
Harold Macmillan,1894,1986
Edward Elgar,1857,1934
Henry Wadsworth Longfellow,1807,1882
Alan Jay Lerner,1918,1986
Le Corbusier,1887,1965
Ralph Vaughan Williams,1872,1958
Charles VI Holy Roman Emperor,1685,1740
Lewis Cass,1782,1866
Early Wynn,1920,1999
George McGovern,1922,2012
William Lyon Mackenzie King,1874,1950
Robert Falcon Scott,1868,1912
Hermann Hoth,1885,1971
William S. Burroughs,1914,1997
Max Stirner,1806,1856
Nap Lajoie,1874,1959
Eugene Wigner,1902,1995
Jean Cocteau,1889,1963
Ernest Shackleton,1874,1922
Marlene Dietrich,1901,1992
Günther Prien,1908,1941
Martin Heidegger,1889,1976
Ramana Maharshi,1879,1950
Robert Ritter von Greim,1892,1945
Hal Roach,1892,1992
Grover Cleveland Alexander,1887,1950
Tyagaraja,1767,1848
Lester B. Pearson,1897,1972
Walter Oesau,1913,1944
Johnny Carson,1925,2005
Friedrich Hayek,1899,1992
Bill Dudley,1921,2010
Perry Como,1912,2001
Aldous Huxley,1894,1963
Felix Steiner,1896,1966
George S. Kaufman,1889,1961
William Pitt the Younger,1759,1806
Clark Gable,1901,1960
Jorge Luis Borges,1899,1986
Ramsay MacDonald,1866,1937
Muddy Waters,1913,1983
Ferdinand VII of Spain,1784,1833
Mustafa Kemal Atatürk,1881,1938
Linus Pauling,1901,1994
Danny Kaye,1911,1987
Edmund Hillary,1919,2008
Golda Meir,1898,1978
Sammy Baugh,1914,2008
Charles Francis Adams Sr.,1807,1886
Wolfram Freiherr von Richthofen,1895,1945
Victor Young,1900,1956
Otto Graham,1921,2003
W. H. Auden,1907,1973
Sam Houston,1793,1863
Paul Hausser,1880,1972
Heinz Macher,1919,2001
Annie Besant,1847,1933
Adolf Eichmann,1906,1962
Niels Bohr,1885,1962
James Longstreet,1821,1904
William Godwin,1756,1836
Dizzy Dean,1910,1974
Sukarno,1901,1970
Wolf-Dietrich Wilcke,1913,1944
Joachim Schepke,1912,1941
Robert Mugabe,1924,2010
Charles Evans Hughes,1862,1948
Cy Young,1867,1955
George Balanchine,1904,1983
David Starr Jordan,1851,1931
Simón Bolívar,1783,1830
Barbara McClintock,1902,1992
Wolfgang Lüth,1913,1945
Hans-Valentin Hube,1890,1944
Heinrich von Vietinghoff,1887,1952
Nelson Rockefeller,1908,1979
Claude Monet,1840,1926
Oscar Peterson,1925,2007
Barbara Stanwyck,1907,1990
Pee Wee Reese,1918,1999
Hermann-Bernhard Ramcke,1889,1968
Alexander von Humboldt,1769,1859
Georges Bizet,1838,1875
Hank Greenberg,1911,1986
Salmon P. Chase,1808,1873
Walter Model,1891,1945
Michael Bryan (art historian),1757,1821
Mary Pickford,1892,1979
Montesquieu,1689,1755
Lothar Rendulic,1887,1971
Engelbert Endrass,1911,1941
Reinhard Hardegen,1913,2010
Heinrich Lehmann-Willenbrock,1911,1986
Karl-Friedrich Merten,1905,1993
Viktor Schütze,1906,1950
Heinrich Bleichrodt,1909,1977
Harry Houdini,1874,1926
Gordon Gollob,1912,1987
Friedrich-Wilhelm Bock,1897,1978
Werner Henke,1909,1944
Gotthard Heinrici,1886,1971
Marquis de Sade,1740,1814
John Tyler,1790,1862
Ambrose Burnside,1824,1881
Helmut Lent,1918,1944
Heinrich Liebe,1908,1997
Georg Lassen,1915,2012
Adalbert Schnee,1913,1982
Walter Nowotny,1920,1944
Albrecht Brandi,1914,1966
Sylvester Stadler,1910,1995
Rolf Mützelburg,1913,1942
Carl Emmermann,1915,1990
Johann Mohr,1916,1943
John Maynard Keynes,1883,1946
Herman Melville,1819,1891
Graham Greene,1904,1991
Peggy Lee,1920,2002
John A. Macdonald,1815,1891
Mickey Cochrane,1903,1962
Hans-Joachim Marseille,1919,1942
Jack Kerouac,1922,1969
Archduke Charles Duke of Teschen,1771,1847
Albert Prince Consort,1819,1861
Sarah Vaughan,1924,1990
John Dewey,1859,1952
Burt Lancaster,1913,1994
Chuck Jones,1912,2002
Ferdinand Schörner,1892,1973
Georg Lindemann,1884,1963
Johannes Blaskowitz,1883,1948
Petre Dumitrescu,1882,1950
Mihail Lascăr,1889,1959
Maximilian von Weichs,1881,1954
Richard Attenborough,1923,2014
Heinrich Bär,1913,1957
Eduard Dietl,1890,1944
Marie Curie,1867,1934
Günther-Eberhardt Wisliceny,1912,1985
Frederick William III of Prussia,1770,1840
Pieter Bleeker,1819,1878
Josef Priller,1915,1961
Dietrich Peltz,1914,2001
Helmuth Weidling,1891,1955
Artur Phleps,1881,1944
Hoagy Carmichael,1899,1981
Richard Heidrich,1896,1947
William O. Douglas,1898,1980
Harry Warren,1893,1981
Bruno Hinz,1915,1968
Max Hansen,1908,1990
Heinz Werner,1917,1978
Mel Allen,1913,1996
Lou Boudreau,1917,2001
Emanuel Lasker,1868,1941
Tipu Sultan,1750,1799
Hermann Graf,1912,1988
Michael Wittmann,1914,1944
Erich Rudorffer,1917,2010
Paul Ludwig Ewald von Kleist,1881,1954
